label,k,seed,n_fail,p_is,p_ref,ess,cv,max_share,n_star_is,n_star_naive,speedup,sensitive_pcs,status
paper,300,0,9,0.03367829747820297,0.028666666666666667,169.59360349112202,0.3011692708653179,0.0003768746744247106,1708.7092799269733,4235.46511627907,2.4787511638375865,"[0, 1, 3, 6, 163, 28, 8]",ok
k100_s1,100,1,2,0.01058329040473792,0.028666666666666667,52.730011895925024,0.16763484064029188,0.0003515334126394997,6222.239076915783,4235.46511627907,0.6806979069628565,"[0, 36, 187, 247, 73, 6, 9]",ok
k100_s2,100,2,1,,,,,,,,,,too_few_failures
k100_s3,100,3,3,0.010674296900928392,0.028666666666666667,56.50702958854562,0.2598894988980748,0.0003767135305231695,3642.4485278937373,4235.46511627907,1.1628071292824136,"[4, 0, 3, 165, 254, 159, 2]",ok
k100_s4,100,4,1,,,,,,,,,,too_few_failures
k100_s5,100,5,3,0.021203164061646247,0.028666666666666667,57.308225142292116,0.2909261104588839,0.00038205483428193916,5517.461048251223,4235.46511627907,0.7676474884442572,"[0, 4, 95, 55, 247, 265, 249]",ok
k100_s6,100,6,2,0.0311152652509266,0.028666666666666667,59.9282372872009,0.34156708168428435,0.0003995215819139045,4091.2705651755823,4235.46511627907,1.035244442724188,"[2, 0, 272, 4, 18, 104, 16]",ok
k100_s7,100,7,2,0.08097295333843645,0.028666666666666667,69.75262924227977,0.447404552989207,0.00046501752827809696,4353.574825521148,4235.46511627907,0.9728706375850701,"[178, 6, 242, 5, 8, 148, 208]",ok
k100_s8,100,8,2,0.0012531509051792067,0.028666666666666667,51.77331270059311,0.14021687484905238,0.0003451554180039541,7622.629114150913,4235.46511627907,0.5556436044377662,"[0, 4, 155, 235, 7, 2, 157]",ok
k100_s9,100,9,3,0.04067779438648166,0.028666666666666667,63.28628341768261,0.36512421916735516,0.00042190855611787395,4502.723590493233,4235.46511627907,0.9406451520190056,"[6, 1, 8, 38, 197, 148, 30]",ok
k100_s10,100,10,1,,,,,,,,,,too_few_failures
k100_s11,100,11,4,0.04899887679521052,0.028666666666666667,61.430040522949334,0.34846692310086236,0.0004095335982495015,2914.953992176687,4235.46511627907,1.4530126813824311,"[0, 6, 4, 201, 19, 44, 83]",ok
